,Unnamed: 0,datetime,city,state,country,shape,duration (seconds)
1966,53170,2009-06-30 21:00:00,mt. pleasant,ny,us,disk,1800.0
1967,53212,2011-06-30 23:30:00,modena,ny,us,light,300.0
1968,53226,2012-06-30 20:00:00,rockaway,ny,,light,300.0
1969,53229,2012-06-30 21:30:00,east islip,ny,us,fireball,180.0
1970,53233,2012-06-30 21:45:00,auburn,ny,us,light,300.0
1971,53236,2012-06-30 22:00:00,johnsonville,ny,us,circle,45.0
1972,53237,2012-06-30 22:02:00,utica,ny,us,circle,240.0
1973,53243,2012-06-30 22:45:00,lebanon,ny,us,fireball,60.0
1974,53277,1995-06-03 13:00:00,syracuse,ny,us,formation,20.0
1975,53305,2000-06-03 23:30:00,new york city (brooklyn),ny,us,chevron,3600.0
1976,53312,2001-06-03 23:30:00,jamaica,ny,us,unknown,420.0
1977,53360,2007-06-03 17:00:00,hempstead,ny,us,,120.0
1978,53393,2011-06-03 22:00:00,cuba,ny,us,sphere,300.0
1979,53401,2012-06-03 01:15:00,harriman state park,ny,,other,10.0
1980,53414,2013-06-03 21:00:00,gloversville,ny,us,light,180.0
1981,53426,2013-06-03 22:30:00,ithaca,ny,us,light,300.0
1982,53444,1997-06-04 21:20:00,white plains,ny,us,other,360.0
1983,53487,2005-06-04 19:40:00,new york city (brooklyn),ny,us,light,300.0
1984,53536,2011-06-04 21:30:00,rochester,ny,us,fireball,600.0
1985,53537,2011-06-04 22:10:00,beacon,ny,us,triangle,60.0
1986,53575,1964-06-05 10:00:00,new york city (brooklyn),ny,us,disk,5400.0
1987,53587,1992-06-05 13:00:00,new york city (manhattan),ny,us,light,25.0
1988,53593,1997-06-05 16:00:00,new york city (brooklyn),ny,us,disk,120.0
1989,53620,2003-06-05 13:55:00,new york city (brooklyn),ny,us,cigar,600.0
1990,53651,2005-06-05 20:30:00,new york city&#44 manhattan,ny,,circle,1200.0
1991,53678,2007-06-05 22:32:00,new york city (manhattan),ny,us,light,2.0
1992,53719,2011-06-05 14:38:00,buffalo,ny,us,diamond,10.0
1993,53762,2013-06-05 22:05:00,binghamton,ny,us,diamond,180.0
1994,53771,1957-06-06 22:00:00,hicksville (long island),ny,us,circle,15.0
1995,53832,1998-06-06 22:00:00,elba,ny,us,light,20.0
1996,53854,2002-06-06 01:00:00,malta,ny,us,triangle,4.0
1997,53878,2003-06-06 21:00:00,jamesport,ny,us,light,180.0
1998,53888,2005-06-06 02:00:00,new york city (bronx),ny,us,disk,360.0
1999,53923,2007-06-06 21:03:00,hudson falls,ny,us,light,20.0
2000,53924,2007-06-06 21:15:00,jericho,ny,us,other,420.0
2001,53959,2009-06-06 17:00:00,massapequa,ny,us,cylinder,1200.0
2002,53963,2009-06-06 23:00:00,valley  cottage,ny,us,circle,300.0
2003,53966,2010-06-06 02:00:00,new york city (brooklyn),ny,us,sphere,3600.0
2004,53991,2012-06-06 10:00:00,valhalla,ny,us,sphere,600.0
2005,54043,1998-06-07 23:00:00,watertown,ny,us,circle,120.0
2006,54069,2002-06-07 12:58:00,massena,ny,us,disk,120.0
2007,54073,2002-06-07 23:00:00,ithaca/dansville/batavia/weedsport,ny,,light,120.0
2008,54094,2005-06-07 00:00:00,westmorland,ny,,sphere,900.0
2009,54103,2005-06-07 20:10:00,east setauket,ny,us,circle,1250.0
2010,54156,2009-06-07 02:30:00,new york city,ny,us,fireball,300.0
2011,54177,2011-06-07 21:29:00,huntington,ny,us,flash,4.0
2012,54179,2011-06-07 22:30:00,palermo,ny,us,light,180.0
2013,54182,2012-06-07 04:02:00,blue point,ny,us,,25.0
2014,54237,1999-06-08 11:10:00,rochester,ny,us,other,10.0
2015,54281,2005-06-08 10:40:00,hopewell junction,ny,us,light,10.0
2016,54347,2012-06-08 02:00:00,binghamton,ny,us,other,7200.0
2017,54427,2000-06-09 20:30:00,west valley,ny,,light,900.0
2018,54437,2001-06-09 16:00:00,new york city (staten island),ny,us,light,54000.0
2019,54491,2006-06-09 23:46:00,new york city (bronx),ny,us,sphere,12.0
2020,54500,2007-06-09 21:00:00,east aurora,ny,us,circle,900.0
2021,54506,2008-06-09 01:30:00,geneva,ny,us,light,7200.0
2022,54567,2012-06-09 22:55:00,jamestown,ny,us,light,120.0
2023,54569,2012-06-09 23:00:00,lansing,ny,us,flash,60.0
2024,54580,2013-06-09 22:10:00,rochester,ny,us,formation,120.0
2025,54583,2013-06-09 22:35:00,poughkeepsie,ny,us,circle,300.0
2026,54592,1958-07-10 09:00:00,cheektowaga,ny,us,teardrop,20.0
2027,54593,1962-07-10 10:00:00,tannersville,ny,us,light,120.0
2028,54615,1980-07-10 15:00:00,town of preble,ny,,light,5.0
2029,54620,1983-07-10 20:00:00,new york city (bronx),ny,us,fireball,5.0
2030,54654,1998-07-10 15:00:00,new rochelle,ny,us,cigar,10.0
2031,54686,2001-07-10 21:15:00,rome,ny,us,triangle,120.0
2032,54693,2002-07-10 19:24:00,rochester,ny,us,unknown,120.0
2033,54697,2002-07-10 22:15:00,commack,ny,us,light,20.0
2034,54719,2004-07-10 12:05:00,hilton,ny,us,circle,300.0
2035,54734,2005-07-10 20:00:00,lancaster,ny,us,other,600.0
2036,54769,2008-07-10 11:55:00,green island,ny,us,light,1.0
2037,54771,2008-07-10 17:30:00,glenmont,ny,us,sphere,15.0
2038,54781,2009-07-10 02:30:00,frankfort,ny,us,circle,7200.0
2039,54785,2009-07-10 21:00:00,greenwich,ny,us,light,240.0
2040,54808,2010-07-10 21:30:00,springwater,ny,us,fireball,300.0
2041,54832,2010-07-10 23:20:00,orangeburg,ny,us,cylinder,60.0
2042,54834,2010-07-10 23:50:00,east hampton,ny,us,circle,30.0
2043,54842,2011-07-10 14:00:00,new york city (brooklyn),ny,us,sphere,300.0
2044,54846,2011-07-10 20:45:00,menands,ny,us,unknown,300.0
2045,54847,2011-07-10 21:30:00,canisteo,ny,us,fireball,60.0
2046,54851,2011-07-10 22:45:00,new york city (brooklyn),ny,us,oval,99.0
2047,54853,2011-07-10 23:15:00,ocean beach (fire island),ny,us,light,30.0
2048,54868,2012-07-10 23:00:00,northport,ny,us,light,600.0
2049,54886,2013-07-10 22:35:00,minoa,ny,us,unknown,600.0
2050,54898,1994-07-11 17:10:00,new york city (brooklyn),ny,us,disk,7.0
2051,54938,2003-07-11 01:00:00,new york city (bronx),ny,us,light,9000.0
2052,54946,2003-07-11 22:00:00,bay shore,ny,us,light,600.0
2053,54966,2005-07-11 00:56:00,saint johnsville,ny,us,oval,1020.0
2054,55023,2009-07-11 22:00:00,victor,ny,us,light,30.0
2055,55031,2010-07-11 01:00:00,fairport,ny,us,triangle,900.0
2056,55042,2010-07-11 18:00:00,smithtown,ny,us,flash,900.0
2057,55047,2010-07-11 21:15:00,sag harbor,ny,us,light,120.0
